-3.4797398,36.6386967,-3.4796398,36.6387967,2024-12-03 23:59:00,2024-12-03 23:59:00,MOORING,recovery_SMD_DV02_C04
-3.4797398,36.6386967,-3.4796398,36.6387967,2024-12-03 23:59:00,2024-12-03 23:59:00,OBS,recovery_SMD_DV02_C04
-3.4797398,36.6386967,-3.4796398,36.6387967,2024-12-03 23:59:00,2024-12-03 23:59:00,OBS,recovery_SMD_DV02_C04
-3.4797398,36.6386967,-3.4796398,36.6387967,2024-12-03 23:59:00,2024-12-03 23:59:00,OBS,recovery_SMD_DV02_C04
-3.4797398,36.6386967,-3.4796398,36.6387967,2024-12-03 23:59:00,2024-12-03 23:59:00,PERFILADOR DE FONDO,recovery_SMD_DV02_C04
-3.4797398,36.6386967,-3.4796398,36.6387967,2024-12-03 23:59:00,2024-12-03 23:59:00,PIES,recovery_SMD_DV02_C04
-3.4797398,36.6386967,-3.4796398,36.6387967,2024-12-03 23:59:00,2024-12-03 23:59:00,PIES,recovery_SMD_DV02_C04
-3.4797398,36.6386967,-3.4796398,36.6387967,2024-12-03 23:59:00,2024-12-03 23:59:00,PIES,recovery_SMD_DV02_C04
-3.4797398,36.6386967,-3.4796398,36.6387967,2024-12-03 23:59:00,2024-12-03 23:59:00,PIES,recovery_SMD_DV02_C04
-3.4797398,36.6386967,-3.4796398,36.6387967,2024-12-03 23:59:00,2024-12-03 23:59:00,RED,recovery_SMD_DV02_C04
-3.4797398,36.6386967,-3.4796398,36.6387967,2024-12-03 23:59:00,2024-12-03 23:59:00,RED,recovery_SMD_DV02_C04
-3.4797398,36.6386967,-3.4796398,36.6387967,2024-12-03 23:59:00,2024-12-03 23:59:00,RED,recovery_SMD_DV02_C04
-3.4797398,36.6386967,-3.4796398,36.6387967,2024-12-03 23:59:00,2024-12-03 23:59:00,RADIOMETRO,recovery_SMD_DV02_C04
-3.4797398,36.6386967,-3.4796398,36.6387967,2024-12-03 23:59:00,2024-12-03 23:59:00,RADIOMETRO,recovery_SMD_DV02_C04
-3.4797398,36.6386967,-3.4796398,36.6387967,2024-12-03 23:59:00,2024-12-03 23:59:00,RADIOMETRO,recovery_SMD_DV02_C04
-3.4797398,36.6386967,-3.4796398,36.6387967,2024-12-03 23:59:00,2024-12-03 23:59:00,ROV,recovery_SMD_DV02_C04
-3.4797398,36.6386967,-3.4796398,36.6387967,2024-12-03 23:59:00,2024-12-03 23:59:00,ROV,recovery_SMD_DV02_C04
-4.4176718,36.7172933,-4.417665,36.7172975,2024-10-03 22:35:00,2024-10-03 22:41:00,SISMICA DE REFRACCION,LT_014-015
-4.4176718,36.7172933,-4.417665,36.7172975,2024-10-03 22:35:00,2024-10-03 22:41:00,SISMICA DE REFRACCION,LT_014-015
-4.4176718,36.7172933,-4.417665,36.7172975,2024-10-03 22:35:00,2024-10-03 22:41:00,SISMICA MULTICANAL,LT_014-015
-4.4176718,36.7172933,-4.417665,36.7172975,2024-10-03 22:35:00,2024-10-03 22:41:00,SISMICA MULTICANAL,LT_014-015
-4.4176718,36.7172933,-4.417665,36.7172975,2024-10-03 22:35:00,2024-10-03 22:41:00,SONAR DE BARRIDO LATERAL,LT_014-015
